"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Amblycheila cylindriformis","Great Plains tiger beetle","Species","Exact Match","Amblycheila cylindriformis","Nebraska,South Dakota","Nebraska,South Dakota",2,2,0
"Amblyderus werneri","Great Sand Dunes anthicid beetle","Species","Exact Match","Amblyderus werneri","Colorado","Colorado",1,1,0
"Amblyscirtes belli","Bell''s Roadside Skipper","Species","Exact Match","Amblyscirtes belli","Kansas","Arkansas,Georgia,Kansas",1,3,-2
"Amblyscirtes linda","Linda's Roadside Skipper","Species","Exact Match","Amblyscirtes linda","Arkansas,Illinois,Kansas,Oklahoma,Tennessee","Arkansas,Illinois,Kansas,Missouri,Oklahoma,Tennessee",5,6,-1
"Amblyscirtes oslari","Oslar''s Roadside Skipper","Species","Exact Match","Amblyscirtes oslari","","Nebraska",0,1,-1
"Ambrosia tomentosa","Perennial Bursage","Species","Exact Match","Ambrosia tomentosa","","Nebraska",0,1,-1
"Ambrysus mormon","Creeping Water Bug","Species","Exact Match","Ambrysus mormon","","Nebraska",0,1,-1
"Ambystoma texanum","Smallmouth Salamander","Species","Exact Match","Ambystoma texanum,Ambytoma texanum","Iowa,Michigan,Nebraska,Ohio,West Virginia","Alabama,Iowa,Michigan,Mississippi,Missouri,Nebraska,Ohio,Tennessee,West Virginia",5,9,-4
"Ambystoma tigrinum","Tiger Salamander","Species","Exact Match","Ambystoma tigrinum,Ambystoma tigrinum tigrinum,Ambystoma trigrinum tigrinum","Arkansas,Delaware,Florida,Kansas,Louisiana,Maryland,Michigan,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,Ohio,South Carolina,Virginia,Washington,Wyoming","Alabama,Arkansas,Delaware,Florida,Georgia,Iowa,Kansas,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,South Carolina,Virginia,Washington",18,18,0
"Ameiurus natalis","yellow bullhead","Species","Followed Accepted TSN","Ameiurus natalis,Ictalurus natalis","Delaware,North Dakota","New Jersey,North Dakota",2,2,0
"Amelanchier interior","Inland Serviceberry","Species","Exact Match","Amelanchier interior","","Nebraska",0,1,-1
"Ametropus neavei","Mayfly, spp.","Species","Followed Accepted TSN","Ametropus albrighti,Ametropus neavei","Colorado","Colorado",1,1,0
"Amia calva","Bowfin","Species","Exact Match","Amia calva","District of Columbia,Iowa,Maryland","Delaware,District of Columbia,Maryland,Nebraska,Pennsylvania",3,5,-2
"Ammannia auriculata","Ear-leaf Toothcup","Species","Exact Match","Ammannia auriculata","Nebraska","Nebraska",1,1,0
"Ammodramus bairdii","Baird''s Sparrow","Species","Exact Match","Ammodramus bairdii","Arizona,Kansas,Minnesota,Montana,New Mexico,North Dakota,Oklahoma,South Dakota,Texas","Arizona,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas",9,9,0
"Ammodramus henslowii","Henslow''s Sparrow","Species","Exact Match","Ammodramus henslowii","Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",30,29,1
"Ammodramus leconteii","Le Conte's Sparrow","Species","Exact Match","Ammodramus leconteii","Arkansas,Illinois,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Montana,North Dakota,Oklahoma,South Dakota,Texas,Wisconsin","Arkansas,Florida,Illinois,Iowa,Louisiana,Minnesota,Mississippi,North Carolina,North Dakota,Oklahoma,South Dakota,Tennessee,Texas,Wisconsin",13,14,-1
"Ammodramus nelsoni","Nelson''s Sparrow","Species","Exact Match","Ammodramus nelsoni,Ammodramus nelsonii","Alabama,Illinois,Iowa,Louisiana,Maine,Minnesota,Mississippi,Montana,New Hampshire,New Jersey,North Carolina,North Dakota,Oklahoma,Texas,Virginia,Wisconsin","Alabama,Delaware,Florida,Georgia,Louisiana,Maine,Maryland,Minnesota,Mississippi,New Hampshire,New Jersey,North Carolina,North Dakota,Oklahoma,Rhode Island,Virginia,Wisconsin",16,17,-1
"Ammodramus savannarum","Grasshopper Sparrow","Species","Exact Match","Ammodramus savannarum","Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",39,34,5
"Amorpha nana","Dwarf Indigo-bush","Species","Exact Match","Amorpha nana","Nebraska","Nebraska",1,1,0
"Amphiachyris dracunculoides","Prairie Broomweed","Species","Exact Match","Amphiachyris dracunculoides","","Nebraska",0,1,-1
"Amphinaias nodulata","Wartyback","Species","Followed Accepted TSN","Quadrula nodulata","Iowa,Kansas,Minnesota,Mississippi,Missouri,Ohio,Oklahoma,Texas,Wisconsin","Iowa,Kansas,Minnesota,Mississippi,Ohio,Oklahoma,West Virginia,Wisconsin",9,8,1
"Amphinaias pustulosa","Pimple back","Species","Followed Accepted TSN","Quadrula pustulosa,Quadrula pustulosa pustulosa","Kansas,Michigan,Nebraska,New York,Virginia","Iowa,Nebraska,Pennsylvania,South Dakota,Virginia,West Virginia",5,6,-1
"Amphiscirpus nevadensis","Nevada Bulrush","Species","Exact Match","Amphiscirpus nevadensis","Nebraska","Nebraska",1,1,0
"Analetris eximia","A Mayfly","Species","Exact Match","Analetris eximia","","South Dakota",0,1,-1
"Anaphalis margaritacea","Pearly Everlasting","Species","Exact Match","Anaphalis margaritacea","Nebraska","Nebraska",1,1,0
"Anas acuta","Northern Pintail","Species","Exact Match","Anas acuta","Arizona,Arkansas,Colorado,Florida,Hawaii,Idaho,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Nevada,New Jersey,New Mexico,New York,North Dakota,Ohio,Oklahoma,South Carolina,Texas,Washington,Wyoming","Delaware,Hawaii,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Nevada,New Jersey,New York,North Dakota,Oklahoma,Rhode Island,South Carolina,Texas,Virginia,Wyoming",23,17,6
"Anas americana","American Wigeon","Species","Exact Match","Anas americana","Arizona,Hawaii,Nebraska,Ohio","Delaware,Hawaii,Iowa,Nebraska,Rhode Island",4,5,-1
"Anas cyanoptera","Cinnamon teal","Species","Exact Match","Anas cyanoptera,Anas cyanpotera","Nebraska,Nevada","Nebraska,Washington",2,2,0
"Anatrytone logan","Delaware skipper","Species","Followed Accepted TSN","Anatrytone logan,Atrytone logan","Delaware","Delaware,Maryland,Nebraska",1,3,-2
"Anaxyrus americanus","American Toad","Species","Exact Match","Anaxyrus americanus","","District of Columbia,Nebraska",0,2,-2
"Anaxyrus baxteri","Wyoming Toad","Species","Followed Accepted TSN","Anaxyrus baxteri,Bufo baxteri","Wyoming","Wyoming",1,1,0
"Anaxyrus boreas","Western Toad","Species","Exact Match","Anaxyrus boreas,Bufo boreas","Alaska,Montana,Oregon,Utah,Washington","Alaska,Idaho,Montana,Nevada,New Mexico,Oregon,Utah,Washington",5,8,-3
"Anaxyrus boreas boreas","Western Boreal Toad","Subspecies","Followed Accepted TSN","Anaxyrus boreas boreas,Bufo boreas boreas","Colorado,New Mexico,Wyoming","Colorado,Wyoming",3,2,1
"Anaxyrus cognatus","Great Plains Toad","Species","Followed Accepted TSN","Anaxyrus cognatus,Bufo cognatus","Iowa,Missouri,Montana,Nevada,Utah,Wyoming","Iowa,Minnesota,Missouri,Montana,Nevada,Utah,Wyoming",6,7,-1
"Anaxyrus debilis","Green toad","Species","Exact Match","Anaxyrus (Bufo) debilis,Anaxyrus debilis","","Colorado,Kansas,Oklahoma",0,3,-3
"Anaxyrus hemiophrys","Canadian Toad","Species","Exact Match","Anaxyrus hemiophrys,Bufo hemiophrys","North Dakota","North Dakota",1,1,0
"Anaxyrus punctatus","Red-spotted Toad","Species","Exact Match","Anaxyrus punctatus,Bufo punctatus","Kansas","Kansas",1,1,0
"Anemone multifida var. multifida","Hudson Bay Anemone","Variety","Exact Match","Anemone multifida var. multifida","","Nebraska,Vermont",0,2,-2
"Anguilla rostrata","American Eel","Species","Exact Match","Anguilla rostrata,Anguilla Rostrata","Connecticut,District of Columbia,Florida,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New York,Ohio,Puerto Rico,Rhode Island,South Carolina,Texas,Vermont,Virginia,West Virginia,Wisconsin","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Louisiana,Maine,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",20,28,-8
"Anisota oslari","Oslar''s oakworm moth","Species","Exact Match","Anisota oslari","Colorado","Colorado",1,1,0
"Anodonta californiensis","California Floater","Species","Exact Match","Anodonta californiensis","Arizona,California,Idaho,Nevada,Utah,Washington,Wyoming","Arizona,California,Idaho,Nevada,Oregon,Utah,Washington,Wyoming",7,8,-1
"Anodontoides ferussacianus","Cumberland Papershell","Species","Followed Accepted TSN","Anodontiodes ferussacianus,Anodontoides denigratus,Anodontoides ferussacianus","Colorado,Iowa,Kansas,Kentucky,Michigan,Missouri,Pennsylvania,Vermont,West Virginia,Wyoming","Colorado,Iowa,Kansas,Kentucky,Missouri,Ohio,Pennsylvania,Tennessee,Vermont,West Virginia,Wyoming",10,11,-1
"Antennaria dimorpha","Low Pussytoes","Species","Exact Match","Antennaria dimorpha","","Nebraska",0,1,-1
"Anthus spragueii","Sprague's Pipit","Species","Exact Match","Anthus spragueii","Arizona,Kansas,Louisiana,Minnesota,Montana,New Mexico,North Dakota,Oklahoma,South Dakota,Texas","Arizona,Arkansas,Iowa,Kansas,Louisiana,Minnesota,Missouri,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas",10,13,-3
"Anticlea elegans var. elegans","Mountain White-camas","Variety","Exact Match","Anticlea elegans var. elegans","","Nebraska",0,1,-1
"Anticlea vaginata","Alcove death camas","Species","Fuzzy Match","Anticlea vaginatus","","Colorado",0,1,-1
"Antrozous pallidus","Pallid Bat","Species","Exact Match","Antrozous pallidus","California,Kansas,Montana,Oregon,Texas,Wyoming","California,Kansas,Oregon,Texas,Wyoming",6,5,1
"Apalone mutica","Smooth Softshell","Species","Exact Match","Apalone mutica","Illinois,Kansas,Minnesota,North Dakota,South Dakota,Tennessee,Wisconsin","Illinois,Iowa,Kansas,Louisiana,Minnesota,Nebraska,North Dakota,Oklahoma,South Dakota,Tennessee,Texas,Wisconsin",7,12,-5
"Apalone spinifera","Spiny Softshell Turtle","Species","Exact Match","Apalone spinifera,Apalone spiniferus,Trionyx spiniferus","Maryland,Montana,New York,Oklahoma,South Carolina,Tennessee,Vermont,Virginia","Iowa,Maryland,North Dakota,Oklahoma,South Carolina,Texas,Vermont",8,7,1
"Apalone spinifera spinifera","Eastern Spiny Softshell","Subspecies","Exact Match","Apalone spinifera hartwegi,Apalone spinifera spinifera","North Carolina,Ohio,Wyoming","New York,North Carolina,Virginia,West Virginia,Wyoming",3,5,-2
"Aphelocoma californica","Western Scrub-Jay","Species","Exact Match","Aphelocoma californica","Wyoming","Arizona,Wyoming",1,2,-1
"Apobaetis etowah","Small Minnow Mayfly","Species","Exact Match","Apobaetis etowah","Georgia","Colorado",1,1,0
"Apobaetis lakota","A Mayfly","Species","Exact Match","Apobaetis lakota","","Nebraska",0,1,-1
"Aquila chrysaetos","Golden Eagle","Species","Exact Match","Aquila chrysaetos","Alaska,California,Colorado,Kansas,Maine,Maryland,Montana,Nebraska,New Hampshire,New Mexico,New York,North Dakota,Pennsylvania,Tennessee,Texas,Washington","Alabama,Arizona,Colorado,Delaware,Idaho,Kansas,Maine,Maryland,Mississippi,Nebraska,Nevada,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Tennessee,Texas,Utah,Virginia,Washington,West Virginia",16,22,-6
"Aralia racemosa","Spikenard","Species","Exact Match","Aralia racemosa","Nebraska","Nebraska",1,1,0
"Archilochus colubris","Ruby-throated Hummingbird","Species","Exact Match","Archilochus colubris","Connecticut,Nebraska,Ohio","Nebraska",3,1,2
"Arcidens confragosus","Rock Pocketbook","Species","Exact Match","Arcidens confragosus","Arkansas,Illinois,Iowa,Kansas,Minnesota,Mississippi,Missouri,South Dakota,Texas,Wisconsin","Iowa,Kansas,Minnesota,Mississippi,South Dakota,Wisconsin",10,6,4
"Arctostaphylos uva-ursi","Kinniinnick","Species","Exact Match","Arctostaphylos uva-ursi","Nebraska","Nebraska,West Virginia",1,2,-1
"Argia alberta","Paiute dancer","Species","Exact Match","Argia alberta","Colorado,Iowa","Colorado,Iowa,Missouri",2,3,-1
"Argyrochosma dealbata","Powdery Cloak Fern","Species","Exact Match","Argyrochosma dealbata","","Nebraska",0,1,-1
"Arisaema dracontium","Green Dragon","Species","Exact Match","Arisaema dracontium","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",2,3,-1
"Aristida desmantha","Curly Three-awn","Species","Exact Match","Aristida desmantha","Missouri","Missouri,Nebraska",1,2,-1
"Aristida purpurascens var. purpurascens","Arrowfeather Three-awn","Variety","Exact Match","Aristida purpurascens var. purpurascens","","Nebraska,West Virginia",0,2,-2
"Arizona elegans","Glossy Snake","Species","Exact Match","Arizona elegans","Kansas,Nebraska,Utah","Kansas,Nebraska",3,2,1
"Arnoglossum atriplicifolium","Pale Indian-Plantsain","Species","Exact Match","Arnoglossum atriplicifolium","Nebraska","Nebraska",1,1,0
"Artemisia carruthii","Carruth''s Sagewort","Species","Exact Match","Artemisia carruthii","Nebraska","Nebraska",1,1,0
"Artemisiospiza belli","Sage Sparrow","Species","Followed Accepted TSN","Amphispiza belli","Colorado,Montana,Nevada,New Mexico,Oregon,Utah,Washington,Wyoming","Arizona,Colorado,Nevada,Wyoming",8,4,4
"Asclepias amplexicaulis","blunt-leaved milkweed","Species","Exact Match","Asclepias amplexicaulis","Nebraska,Vermont","Connecticut,Nebraska,Vermont",2,3,-1
"Asclepias asperula ssp. capricornu","Antelope-Horns","Subspecies","Followed Accepted TSN","Asclepias asperula var. decumbens","Nebraska","Nebraska",1,1,0
"Asclepias latifolia","Broad-leaf Milkweed","Species","Exact Match","Asclepias latifolia","","Nebraska",0,1,-1
"Asclepias purpurascens","Purple Milkweed","Species","Exact Match","Asclepias purpurascens","Georgia,Nebraska","Connecticut,Georgia,Louisiana,Massachusetts,Nebraska,Tennessee",2,6,-4
"Asclepias uncialis","Dwarf milkweed","Species","Followed Accepted TSN","Asclepias uncialis ssp. uncialis","","Colorado",0,1,-1
"Asio flammeus","Short-eared Owl","Species","Exact Match","Asio flammeus","Alabama,Alaska,Arkansas,California,Colorado,Connecticut,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,Tennessee,Texas,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Alabama,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Washington,West Virginia,Wisconsin,Wyoming",40,36,4
"Asplenium platyneuron","Ebony Spleenwort","Species","Exact Match","Asplenium platyneuron","Nebraska","Nebraska",1,1,0
"Asterocampa clyton","Tawny Emperor","Species","Exact Match","Asterocampa clyton","Pennsylvania,Vermont","Delaware,Nebraska,Vermont",2,3,-1
"Astragalus agrestis","Field Milkvetch","Species","Exact Match","Astragalus agrestis","Nebraska","Nebraska",1,1,0
"Astragalus anisus","Gunnison milkvetch","Species","Exact Match","Astragalus anisus","","Colorado",0,1,-1
"Astragalus barrii","Barr''s Milkvetch","Species","Exact Match","Astragalus barrii","Nebraska","Nebraska",1,1,0
"Astragalus bodinii","Bodin''s Milk-vetch","Species","Exact Match","Astragalus bodinii","","Nebraska",0,1,-1
"Astragalus cronquistii","Cronquist milkvetch","Species","Exact Match","Astragalus cronquistii","","Colorado",0,1,-1
"Astragalus debequaeus","DeBeque milkvetch","Species","Exact Match","Astragalus debequaeus","","Colorado",0,1,-1
"Astragalus deterior","Cliff-palace milkvetch","Species","Exact Match","Astragalus deterior","","Colorado",0,1,-1
"Astragalus equisolensis","Horseshoe milkvetch","Species","Exact Match","Astragalus equisolensis","","Colorado",0,1,-1
"Astragalus humillimus","Mancos milkvetch","Species","Exact Match","Astragalus humillimus","","Colorado",0,1,-1
"Astragalus hyalinus","Summer Orophaca","Species","Exact Match","Astragalus hyalinus","Nebraska","Nebraska",1,1,0
"Astragalus iodopetalus","Violet milkvetch","Species","Exact Match","Astragalus iodopetalus","","Colorado",0,1,-1
"Astragalus microcymbus","Skiff milkvetch","Species","Exact Match","Astragalus microcymbus","","Colorado",0,1,-1
"Astragalus missouriensis var. humistratus","Missouri milkvetch","Variety","Exact Match","Astragalus missouriensis var. humistratus","","Colorado",0,1,-1
"Astragalus naturitensis","Naturita milkvetch","Species","Exact Match","Astragalus naturitensis","","Colorado",0,1,-1
"Astragalus osterhoutii","Kremmling milkvetch","Species","Exact Match","Astragalus osterhoutii","","Colorado",0,1,-1
"Astragalus pectinatus","Tine-leaf Milk-vetch","Species","Exact Match","Astragalus pectinatus","Nebraska","Nebraska",1,1,0
"Astragalus piscator","Fisher Towers milkvetch","Species","Exact Match","Astragalus piscator","","Colorado",0,1,-1
"Astragalus rafaelensis","San Rafael milkvetch","Species","Exact Match","Astragalus rafaelensis","","Colorado",0,1,-1
"Astragalus schmolliae","Schmoll milkvetch","Species","Exact Match","Astragalus schmolliae","","Colorado",0,1,-1
"Astragalus shortianus","Short''s Milkvetch","Species","Exact Match","Astragalus shortianus,Astragalus shortianus 1,Astragalus shortianus 2","Nebraska","Nebraska",1,1,0
"Astragalus sparsiflorus","Front Range milkvetch","Species","Exact Match","Astragalus sparsiflorus","","Colorado",0,1,-1
"Astragalus tortipes","Sleeping Ute milkvetch","Species","Exact Match","Astragalus tortipes","","Colorado",0,1,-1
"Athene cunicularia","Burrowing Owl","Species","Followed Accepted TSN","Athene cunicularia,Speotyto cunicularia","California,Idaho,Iowa,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","California,Colorado,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming",15,16,-1
"Athyrium filix-femina var. cyclosorum","Northwestern Lady Fern","Variety","Exact Match","Athyrium filix-femina var. cyclosorum","","Nebraska",0,1,-1
"Atriplex gardneri var. gardneri","Gardner''s Saltbush","Variety","Exact Match","Atriplex gardneri var. gardneri","","Nebraska",0,1,-1
"Atriplex powellii var. powellii","Powell's Saltbush","Variety","Exact Match","Atriplex powellii var. powellii","","Nebraska",0,1,-1
"Atrytone arogos","Arogos Skipper","Species","Exact Match","Atrytone arogos","Colorado,Illinois,Iowa,Kansas,Louisiana,Minnesota,Nebraska","Colorado,Iowa,Kansas,Louisiana,Nebraska,South Carolina",7,6,1
"Atrytone arogos iowa","Iowa Skipper","Subspecies","Exact Match","Atrytone arogos iowa","Nebraska,Oklahoma,South Dakota","Arkansas,Minnesota,Nebraska,Oklahoma,South Dakota",3,5,-2
"Atrytonopsis hianna","Dusted Skipper","Species","Fuzzy Match","Atryonopsis hianna,Atrytonopsis hianna","Delaware,Illinois,Indiana,Iowa,Louisiana,Michigan,Pennsylvania,Rhode Island,Vermont,West Virginia","Delaware,Iowa,Louisiana,Maine,Maryland,Michigan,Minnesota,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin",10,15,-5
"Aythya affinis","Lesser Scaup","Species","Exact Match","Athya affinis,Aythya affinis","Colorado,Connecticut,Delaware,Florida,Hawaii,Idaho,Illinois,Kentucky,Louisiana,Minnesota,Mississippi,Nebraska,New Jersey,New York,Oklahoma,South Carolina,Texas,Virgin Islands,Washington,Wisconsin,Wyoming","Alaska,Delaware,Florida,Hawaii,Illinois,Iowa,Kentucky,Louisiana,Minnesota,Mississippi,Nebraska,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Wyoming",21,19,2
