"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Buteo lineatus","Red-shouldered Hawk","Exact Match","Buteo lineatus","Connecticut,Delaware,District of Columbia,Illinois,Indiana,Iowa,Maryland,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Texas,Vermont,Wisconsin","Delaware,Indiana,Iowa,Michigan,Minnesota,Nebraska,New Jersey,New York,South Carolina,Texas,Vermont,Wisconsin",NA,"Animalia","Chordata","Aves"
"Buteo regalis","Ferruginous Hawk","Exact Match","Buteo regalis","Arizona,California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Dakota,Texas,Utah,Washington,Wyoming","Arizona,Colorado,Idaho,Kansas,Nebraska,Nevada,North Dakota,Oklahoma,Oregon,South Dakota,Texas,Utah,Washington,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Buteo swainsoni","Swainson's Hawk","Exact Match","Buteo swainsoni","Alaska,California,Colorado,Idaho,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,Nevada,North Dakota,Oklahoma,Oregon,Texas,Wyoming","Arizona,California,Colorado,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,Oklahoma,Oregon,Texas,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Caecidotea metcalfi","A Cave Isopod","Exact Match","Caecidotea metcalfi","Kansas","Kansas","Resolved Taxon","Animalia","Arthropoda","Malacostraca"
"Caecidotea simulator","a cave obligate isopod","Exact Match","Caecidotea simulator","Arkansas,Kansas,Oklahoma","Arkansas,Kansas,Oklahoma",NA,"Animalia","Arthropoda","Malacostraca"
"Caecidotea steevesi","An isopod","Exact Match","Caecidotea steevesi","Arkansas,Kansas","Arkansas,Kansas",NA,"Animalia","Arthropoda","Malacostraca"
"Caecidotea tridentata","An Isopod","Exact Match","Caecidotea tridentata","Illinois,Kansas","Illinois,Kansas","Species of Concern","Animalia","Arthropoda","Malacostraca"
"Calamospiza melanocorys","Lark Bunting","Exact Match","Calamospiza melanocorys","Colorado,Kansas,North Dakota,South Dakota,Wyoming","Colorado,Kansas,North Dakota,South Dakota,Wyoming",NA,"Animalia","Chordata","Aves"
"Calcarius ornatus","Chestnut-collared Longspur","Exact Match","Calcarius ornatus","Colorado,Kansas,Minnesota,Montana,Nebraska,North Dakota,Oklahoma,South Dakota,Wyoming","Arizona,Colorado,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Wyoming",NA,"Animalia","Chordata","Aves"
"Calcarius pictus","Smith's Longspur","Exact Match","Calcarius pictus","Alaska,Arkansas,Illinois,Kansas,Louisiana,Oklahoma,Texas","Alaska,Arkansas,Illinois,Iowa,Kansas,Louisiana,Oklahoma,Texas",NA,"Animalia","Chordata","Aves"
"Calidris bairdii","Baird's Sandpiper","Exact Match","Calidris bairdii","Alaska,Kansas","Kansas,South Carolina",NA,"Animalia","Chordata","Aves"
"Calidris canutus rufa","Red Knot","Exact Match","Calidris canutus rufa,Calidris canutus rufus","Florida","Florida,Indiana,Maine,Maryland,Michigan,Minnesota,North Carolina,North Dakota,Oklahoma,Pennsylvania,Virginia,Wisconsin",NA,"Animalia","Chordata","Aves"
"Calidris fuscicollis","White-rumped Sandpiper","Exact Match","Calidris fuscicollis","Alaska,Delaware,Florida,Kansas,Minnesota,Rhode Island,South Carolina,Virgin Islands","Delaware,Florida,Iowa,Kansas,New Jersey,Rhode Island,South Carolina",NA,"Animalia","Chordata","Aves"
"Calidris himantopus","Stilt sandpiper","Fuzzy Match","Calidris himantopus,Micropalama himantopus","Alaska,Arkansas,Illinois,Iowa,Kansas,Kentucky,Puerto Rico,South Carolina,Tennessee,Texas,Virgin Islands","Arkansas,Florida,Iowa,Kansas,Kentucky,South Carolina,Tennessee,Texas",NA,"Animalia","Chordata","Aves"
"Calidris melanotos","Pectoral Sandpiper","Exact Match","Calidris melanotos","Florida,Kansas,Rhode Island,South Carolina,Virgin Islands","Alaska,Delaware,Florida,Illinois,Iowa,Kansas,South Carolina",NA,"Animalia","Chordata","Aves"
"Calidris minutilla","Least Sandpiper","Exact Match","Calidris minutilla","Arkansas,Kansas,Nevada,Rhode Island,South Carolina,Virgin Islands","Kansas,Maine,New Jersey,Rhode Island,South Carolina",NA,"Animalia","Chordata","Aves"
"Calidris pusilla","Semipalmated Sandpiper","Exact Match","Calidris pusilla,Calidris pusilla [M]","Alaska,Arkansas,Connecticut,Delaware,Florida,Kansas,Kentucky,Maine,Maryland,Minnesota,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Virgin Islands","Alaska,Connecticut,Delaware,Florida,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Tennessee",NA,"Animalia","Chordata","Aves"
