"scientificname","commonname","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change","listingStatus","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154"
"Platanthera praeclara","Western Prairie Fringed Orchid","Platanthera praeclara","Missouri,Nebraska","Missouri,Nebraska",2,2,0," ""STATUS"": ""T""","{""DPS"": ""0"""," ""TSN"": ""196423"""," ""FAMILY"": ""Orchidaceae"""," ""SPCODE"": ""Q2YD"""," ""STATUS"": ""T"""," ""result"": true"," ""COMNAME"": ""Western prairie fringed Orchid"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Orchid"," western prairie fringed"""," ""SCINAME"": ""Platanthera praeclara"""," ""VIPCODE"": ""P01"""," ""criteria"": ""196423"""," ""ENTITY_ID"": ""1080"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:15:47.882943"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Threatened"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found"""," ""LISTING_DATE"": ""1989-09-28""}]"," ""REFUGE_OCCURRENCE"": ""Detroit Lakes Wetland Management District"," Valentine National Wildlife Refuge"," Glacial Ridge National Wildlife Refuge"," Northern Tallgrass Prairie National Wildlife Refuge"," Windom Wetland Management District"," Tewaukon Wetland Management District""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Platanthera zothecina","Alcove bog orchid","Limnorchis zothecina","","Colorado",0,1,-1," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""196425"""," ""FAMILY"": ""Orchidaceae"""," ""SPCODE"": ""Q33R"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""No common name"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""No common name"""," ""SCINAME"": ""Platanthera zothecina"""," ""VIPCODE"": ""P01"""," ""criteria"": ""196425"""," ""ENTITY_ID"": ""2870"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T14:15:34.284384"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Platygobio gracilis","Flathead Chub","Platgobio gracilis,Platygobio gracilis,Platygobio gracilus","Arkansas,Colorado,Iowa,Kansas,Kentucky,Minnesota,Mississippi,Missouri,North Dakota,Oklahoma,Wyoming","Arkansas,Colorado,Illinois,Iowa,Kansas,Kentucky,Minnesota,Mississippi,Missouri,Nebraska,North Dakota,Oklahoma,Wyoming",11,13,-2," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""163882"""," ""FAMILY"": ""Cyprinidae"""," ""SPCODE"": ""E08N"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Flathead chub"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Chub"," flathead"""," ""SCINAME"": ""Platygobio gracilis"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Platygobio gracilis"""," ""ENTITY_ID"": ""1413"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T14:17:38.421814"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plethodon idahoensis","Coeur d''Alene Salamander","Plethodon idahoensis","Idaho,Montana","Montana",2,1,1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""173659"""," ""FAMILY"": ""Plethodontidae"""," ""SPCODE"": ""D01S"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Coeur d'Alene salamander"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Salamander"," Coeur d'Alene"""," ""SCINAME"": ""Plethodon idahoensis"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Plethodon idahoensis"""," ""ENTITY_ID"": ""6700"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T19:34:22.135470"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""1"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyodon spathula","Paddlefish","Polydon spathula,Polyodon spathula","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,West Virginia,Wisconsin",21,21,0," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""161088"""," ""FAMILY"": ""Polyodontidae"""," ""SPCODE"": ""E040"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Paddlefish"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Paddlefish"""," ""SCINAME"": ""Polyodon spathula"""," ""VIPCODE"": ""V01"""," ""criteria"": ""161088"""," ""ENTITY_ID"": ""5295"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T10:21:48.224591"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potentilla effusa var. rupincola","Rocky Mountain cinquefoil","Potentilla rupincola","","Colorado",0,1,-1," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""529824"""," ""FAMILY"": ""Rosaceae"""," ""SPCODE"": ""Q1J7"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Front Range cinquefoil"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Cinquefoil"," Front Range"""," ""SCINAME"": ""Potentilla effusa rupincola"""," ""VIPCODE"": ""P01"""," ""criteria"": ""529824"""," ""ENTITY_ID"": ""6579"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T10:55:50.870603"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prosopium williamsoni","Mountain Whitefish","Prosopium williamsoni","California,Wyoming","Nevada,Wyoming",2,2,0," ""result"": true","{""DPS"": ""1"""," ""TSN"": ""162009"""," ""FAMILY"": ""Salmonidae"""," ""SPCODE"": ""E0AM"""," ""result"": true"," ""COMNAME"": ""mountain whitefish"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""whitefish mountain"""," ""SCINAME"": ""Prosopium williamsoni"""," ""VIPCODE"": ""V02"""," ""criteria"": ""Prosopium williamsoni"""," ""ENTITY_ID"": ""9112"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T14:34:35.171758"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Big Lost River Distinct Population"""," ""POP_ABBREV"": ""Big Lost River""}"," {""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ptilagrostis porteri","Porter feathergrass","Ptilagrostis porteri","","Colorado",0,1,-1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""519752"""," ""FAMILY"": ""Poaceae"""," ""SPCODE"": ""Q1KF"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Porter's Feathergrass"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Feathergrass"," Porter's"""," ""SCINAME"": ""Ptilagrostis porteri"""," ""VIPCODE"": ""P01"""," ""criteria"": ""519752"""," ""ENTITY_ID"": ""6182"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T12:34:42.708647"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ptychobranchus occidentalis","Ouachita Kidneyshell","Ptychobranchus occidentalis","Arkansas,Kansas,Louisiana,Missouri,Oklahoma","Arkansas,Kansas,Louisiana,Missouri,Oklahoma",5,5,0," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""80161"""," ""FAMILY"": ""Unionidae"""," ""SPCODE"": ""F03G"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Ouachita kidneyshell"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Kidneyshell"," Ouachita"""," ""SCINAME"": ""Ptychobranchus occidentalis"""," ""VIPCODE"": ""I01"""," ""criteria"": ""Ptychobranchus occidentalis"""," ""ENTITY_ID"": ""3522"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-18T16:15:52.592239"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ptychocheilus lucius","Colorado Pikeminnow","Ptychocheilus lucius","Arizona,Colorado,New Mexico,Utah","Arizona,California,Colorado,New Mexico,Utah",4,5,-1," ""result"": true","{""DPS"": ""0"""," ""TSN"": ""163525"""," ""FAMILY"": ""Cyprinidae"""," ""SPCODE"": ""E006"""," ""result"": true"," ""COMNAME"": ""Colorado pikeminnow (=squawfish)"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Pikeminnow (=squawfish)"," Colorado"""," ""SCINAME"": ""Ptychocheilus lucius"""," ""VIPCODE"": ""V02"""," ""criteria"": ""163525"""," ""ENTITY_ID"": ""2142"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:28:58.183628"""," ""listingStatus"": [{""STATUS"": ""Experimental Population"," Non-Essential"""," ""POP_DESC"": ""Salt and Verde R. drainages"," AZ"""," ""POP_ABBREV"": ""Salt and Verde R. drainages"," AZ"""," ""LISTING_DATE"": ""1985-07-24""}"," {""STATUS"": ""Endangered"""," ""POP_DESC"": ""Wherever found"," except where listed as an experimental population"""," ""POP_ABBREV"": ""Wherever found"," except where listed as an experimental population"""," ""LISTING_DATE"": ""1967-03-11""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puccinellia parishii","Parish’s alkali grass","Puccinellia parishii","","California,Colorado",0,2,-2," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""41218"""," ""FAMILY"": ""Poaceae"""," ""SPCODE"": ""Q1KG"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Parish's alkali grass"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Alkali grass"," Parish's"""," ""SCINAME"": ""Puccinellia parishii"""," ""VIPCODE"": ""P01"""," ""criteria"": ""Puccinellia parishii"""," ""ENTITY_ID"": ""3614"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T13:21:20.781724"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""2"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puma concolor","Mountain Lion","Felis concolor,Puma concolor","Alabama,Kansas,Michigan,Minnesota,Missouri,Nebraska,Oklahoma,Texas,Vermont","Alabama,Kansas,Minnesota,Nebraska,Oklahoma,Texas",9,6,3," ""STATUS"": ""SAT""","{""DPS"": ""0"""," ""TSN"": ""552479"""," ""FAMILY"": ""Felidae"""," ""SPCODE"": ""A0G0"""," ""STATUS"": ""SAT"""," ""result"": true"," ""COMNAME"": ""Puma (=mountain lion)"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Puma (=mountain lion)"""," ""SCINAME"": ""Puma (=Felis) concolor (all subsp. except coryi)"""," ""VIPCODE"": ""V01"""," ""criteria"": ""552479"""," ""ENTITY_ID"": ""8061"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T12:17:41.567171"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""5"""," ""listingStatus"": [{""STATUS"": ""Similarity of Appearance to a Threatened Taxon"""," ""POP_DESC"": ""U.S.A. (FL)"""," ""POP_ABBREV"": ""FL"""," ""LISTING_DATE"": ""1991-08-14""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pyrgulopsis robusta","Jackson Lake Springsnail","Pyrgulopsis robusta","Idaho,Wyoming","Wyoming",2,1,1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""568232"""," ""FAMILY"": ""Hydrobiidae"""," ""SPCODE"": ""G03W"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Jackson Lake springsnail"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Springsnail"," Jackson Lake"""," ""SCINAME"": ""Pyrgulopsis robusta"""," ""VIPCODE"": ""I01"""," ""criteria"": ""Pyrgulopsis robusta"""," ""ENTITY_ID"": ""5699"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-18T16:29:52.031301"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rallus elegans","King Rail","Rallus elegans,Rallus elegans 15,Rallus elegans 16","Arkansas,Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Wisconsin",29,30,-1," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""176207"""," ""FAMILY"": ""Rallidae"""," ""SPCODE"": ""B0G9"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""King Rail"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Rail"," king"""," ""SCINAME"": ""Rallus elegans"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Rallus elegans"""," ""ENTITY_ID"": ""9937"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T18:54:12.996418"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""4"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
