"scientificname","statelist_2015","Montana","Wyoming","Colorado","North Dakota","South Dakota","Nebraska","Kansas"
"Carex umbellata","Nebraska",0,0,0,0,0,1,0
"Carex utriculata","Nebraska,West Virginia",0,0,0,0,0,1,0
"Carex vesicaria","Nebraska,West Virginia",0,0,0,0,0,1,0
"Carex xerantica","Nebraska",0,0,0,0,0,1,0
"Carphophis vermis","Iowa,Louisiana,Nebraska,Wisconsin",0,0,0,0,0,1,0
"Carpiodes cyprinus","Kansas,North Carolina,South Carolina",0,0,0,0,0,0,1
"Carpiodes velifer","Arkansas,Georgia,Kansas,Missouri,South Carolina,Tennessee,West Virginia",0,0,0,0,0,0,1
"Castilleja puberula","Colorado",0,0,1,0,0,0,0
"Catharus fuscescens","Colorado,Connecticut,Delaware,District of Columbia,Iowa,Maine,Maryland,Minnesota,New Hampshire,New Jersey,North Carolina,Ohio,Rhode Island,West Virginia",0,0,1,0,0,0,0
"Catinella gelida","Michigan,South Dakota",0,0,0,0,1,0,0
"Catocala delilah","Nebraska",0,0,0,0,0,1,0
"Catocala habilis","Delaware,Nebraska",0,0,0,0,0,1,0
"Catocala luctuosa","Nebraska",0,0,0,0,0,1,0
"Catocala nuptialis","Nebraska",0,0,0,0,0,1,0
"Catocala residua","Delaware,Nebraska",0,0,0,0,0,1,0
"Catocala robinsonii","Nebraska,Pennsylvania",0,0,0,0,0,1,0
"Catocala serena","Nebraska",0,0,0,0,0,1,0
"Catocala vidua","Nebraska",0,0,0,0,0,1,0
"Catocala whitneyi","Illinois,Kansas,Minnesota,Nebraska,Wisconsin",0,0,0,0,0,1,1
"Catostomus catostomus","Connecticut,Illinois,Indiana,Maine,Maryland,Massachusetts,Minnesota,New York,Ohio,Pennsylvania,South Dakota,West Virginia",0,0,0,0,1,0,0
"Catostomus commersonii","Connecticut,Kansas,Massachusetts",0,0,0,0,0,0,1
"Catostomus discobolus","Arizona,Colorado,New Mexico,Utah,Wyoming",0,1,1,0,0,0,0
"Catostomus latipinnis","Arizona,Colorado,Nevada,Utah,Wyoming",0,1,1,0,0,0,0
"Catostomus platyrhynchus","California,Colorado,South Dakota,Washington",0,0,1,0,1,0,0
"Catostomus plebeius","Colorado,New Mexico",0,0,1,0,0,0,0
